architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
eSEN,matched-compute-HIGH,HIGH,1024,256,ridgeless,0.0,common,0.012356090063832682,0.02436340804472982,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,rho_0.0001,0.0001,common,0.004943528921831681,0.006488043653021773,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,rho_0.01,0.01,common,0.005370315789833678,0.007883817154221016,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,rho_0.1,0.1,common,0.008686033785557223,0.011642971270944793,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,rho_1e-06,1e-06,common,0.004974053787244549,0.006431550156013025,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,rho_1e-08,1e-08,common,0.004974073057505312,0.006430122838392595,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,512,ridgeless,0.0,common,0.004974070310501906,0.006430105113481811,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,rho_0.0001,0.0001,common,0.18530989099621364,0.18178510232192852,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,rho_0.01,0.01,common,0.210412123480263,0.19864091588238575,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,rho_0.1,0.1,common,0.28311986190150484,0.257965610550866,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,rho_1e-06,1e-06,common,0.18485075351428654,0.18145965395010313,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,rho_1e-08,1e-08,common,0.1848453321217486,0.18145616138394524,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,32,ridgeless,0.0,common,0.1848452772252674,0.18145612609421907,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,64,rho_0.0001,0.0001,common,0.06426019350742485,0.07554041717649695,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,64,rho_0.01,0.01,common,0.06958449933843365,0.08278586983038855,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-LOW,LOW,1024,64,rho_0.1,0.1,common,0.09357913206663136,0.11147241384280489,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
